"gbd_condition","ontology_id","channels","channel_details"
"Chronic hepatitis B including cirrhosis","MONDO:0005448","embedding","sim=0.9754 rank=1 label='hepatitis C induced liver cirrhosis'"
"Chronic hepatitis B including cirrhosis","MONDO:0006644","embedding","sim=0.9519 rank=2 label='alcoholic liver cirrhosis'"
"Chronic hepatitis B including cirrhosis","MONDO:0007027","embedding","sim=0.918 rank=9 label='metabolic dysfunction-associated steatohepatitis'"
"Chronic hepatitis B including cirrhosis","MONDO:0100370","embedding","sim=0.9304 rank=7 label='acute hepatitis B virus infection'"
"Chronic hepatitis C including cirrhosis","EFO:0004267","embedding","sim=0.9517 rank=3 label='biliary liver cirrhosis'"
"Chronic hepatitis C including cirrhosis","EFO:0008496","",""
"Chronic hepatitis C including cirrhosis","EFO:0008505","embedding","sim=0.9111 rank=10 label='hepatitis virus-related hepatocellular carcinoma'"
"Chronic hepatitis C including cirrhosis","HP:0012115","",""
"Chronic hepatitis C including cirrhosis","MONDO:0005155","embedding","sim=0.9391 rank=5 label='cirrhosis of liver'"
"Chronic hepatitis C including cirrhosis","MONDO:0005231","embedding","sim=0.9146 rank=8 label='hepatitis C virus infection'"
"Chronic hepatitis C including cirrhosis","MONDO:0005354","embedding","sim=0.9391 rank=4 label='chronic hepatitis C virus infection'"
"Chronic hepatitis C including cirrhosis","MONDO:0005366","embedding","sim=0.9261 rank=6 label='chronic hepatitis B virus infection'"
"Chronic hepatitis C including cirrhosis","MONDO:0005448","embedding","sim=0.9773 rank=1 label='hepatitis C induced liver cirrhosis'"
"Chronic hepatitis C including cirrhosis","MONDO:0006644","embedding","sim=0.9586 rank=2 label='alcoholic liver cirrhosis'"
"Chronic hepatitis C including cirrhosis","MONDO:0007027","embedding","sim=0.9113 rank=9 label='metabolic dysfunction-associated steatohepatitis'"
"Chronic hepatitis C including cirrhosis","MONDO:0100370","embedding","sim=0.915 rank=7 label='acute hepatitis B virus infection'"
"Chronic kidney disease","EFO:0009714","embedding","sim=0.9211 rank=4 label='chronic disease'"
"Chronic kidney disease","EFO:0009909","embedding","sim=0.9279 rank=3 label='stage 5 chronic kidney disease'"
"Chronic kidney disease","EFO:0009910","embedding","sim=0.9482 rank=2 label='chronic lung disease'"
"Chronic kidney disease","MONDO:0000001","",""
"Chronic kidney disease","MONDO:0001106","embedding","sim=0.9017 rank=10 label='kidney failure'"
"Chronic kidney disease","MONDO:0001343","embedding","sim=0.9043 rank=9 label='impaired renal function disease'"
"Chronic kidney disease","MONDO:0001493","embedding","sim=0.9174 rank=5 label='chronic pulmonary heart disease'"
"Chronic kidney disease","MONDO:0002286","embedding","sim=0.9142 rank=6 label='renal artery disease'"
"Chronic kidney disease","MONDO:0002473","embedding","sim=0.9136 rank=7 label='cystic kidney disease'"
"Chronic kidney disease","MONDO:0005016","embedding","sim=0.9088 rank=8 label='diabetic kidney disease'"
"Chronic kidney disease","MONDO:0005300","embedding","sim=1 rank=1 label='chronic kidney disease'"
"Chronic kidney disease due to diabetes mellitus type 1","EFO:0004996","embedding","sim=0.9256 rank=6 label='type 1 diabetes nephropathy'"
"Chronic kidney disease due to diabetes mellitus type 1","EFO:0004997","embedding","sim=0.9143 rank=7 label='type 2 diabetes nephropathy'"
"Chronic kidney disease due to diabetes mellitus type 1","EFO:0009486","embedding","sim=0.8999 rank=9 label='diabetic eye disease'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0000001","",""
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0001660","embedding","sim=0.8973 rank=10 label='proliferative diabetic retinopathy'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005015","",""
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005016","embedding","sim=0.9106 rank=8 label='diabetic kidney disease'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005147","embedding","sim=0.9522 rank=1 label='type 1 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005148","embedding","sim=0.9359 rank=4 label='type 2 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005300","",""
"Chronic kidney disease due to diabetes mellitus type 1","MONDO:0005408","embedding","sim=0.9333 rank=5 label='diabetes mellitus type 2 associated cataract'"
"Chronic kidney disease due to diabetes mellitus type 1","OBA:2001012","embedding","sim=0.9491 rank=2 label='age of onset of type 1 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 1","OBA:2001013","embedding","sim=0.9465 rank=3 label='age of onset of type 2 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 2","EFO:0004996","embedding","sim=0.9225 rank=7 label='type 1 diabetes nephropathy'"
"Chronic kidney disease due to diabetes mellitus type 2","EFO:0004997","embedding","sim=0.9226 rank=6 label='type 2 diabetes nephropathy'"
"Chronic kidney disease due to diabetes mellitus type 2","EFO:0009486","embedding","sim=0.9046 rank=9 label='diabetic eye disease'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0000001","",""
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0001660","embedding","sim=0.8996 rank=10 label='proliferative diabetic retinopathy'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005015","",""
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005016","embedding","sim=0.9148 rank=8 label='diabetic kidney disease'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005147","embedding","sim=0.9492 rank=1 label='type 1 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005148","embedding","sim=0.9459 rank=3 label='type 2 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005300","",""
"Chronic kidney disease due to diabetes mellitus type 2","MONDO:0005408","embedding","sim=0.942 rank=4 label='diabetes mellitus type 2 associated cataract'"
"Chronic kidney disease due to diabetes mellitus type 2","OBA:2001012","embedding","sim=0.9413 rank=5 label='age of onset of type 1 diabetes mellitus'"
"Chronic kidney disease due to diabetes mellitus type 2","OBA:2001013","embedding","sim=0.9477 rank=2 label='age of onset of type 2 diabetes mellitus'"
"Chronic kidney disease due to glomerulonephritis","EFO:0004997","embedding","sim=0.9087 rank=9 label='type 2 diabetes nephropathy'"
"Chronic kidney disease due to glomerulonephritis","HP:0004729","embedding","sim=0.9084 rank=10 label='Acute tubulointerstitial nephritis'"
"Chronic kidney disease due to glomerulonephritis","HP:0004743","embedding","sim=0.9135 rank=8 label='Chronic tubulointerstitial nephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0000001","",""
"Chronic kidney disease due to glomerulonephritis","MONDO:0001085","embedding","sim=0.9158 rank=7 label='interstitial nephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0001166","",""
"Chronic kidney disease due to glomerulonephritis","MONDO:0002461","embedding","sim=0.9492 rank=5 label='membranoproliferative glomerulonephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0002462","embedding","sim=0.9581 rank=3 label='glomerulonephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0003134","embedding","sim=0.9614 rank=1 label='proliferative glomerulonephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0005300","",""
"Chronic kidney disease due to glomerulonephritis","MONDO:0005342","embedding","sim=0.9596 rank=2 label='IgA glomerulonephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0005376","embedding","sim=0.9555 rank=4 label='membranous glomerulonephritis'"
"Chronic kidney disease due to glomerulonephritis","MONDO:0100313","embedding","sim=0.9318 rank=6 label='focal segmental glomerulosclerosis'"
"Chronic kidney disease due to hypertension","EFO:0010675","embedding","sim=0.9445 rank=7 label='chronic venous hypertension'"
"Chronic kidney disease due to hypertension","EFO:1002006","embedding","sim=0.9452 rank=5 label='treatment-resistant hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0000001","",""
"Chronic kidney disease due to hypertension","MONDO:0001134","embedding","sim=0.9537 rank=2 label='essential hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0001200","embedding","sim=0.9565 rank=1 label='secondary hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0005080","embedding","sim=0.9441 rank=8 label='portal hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0005149","embedding","sim=0.9516 rank=3 label='pulmonary hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0005300","",""
"Chronic kidney disease due to hypertension","MONDO:0005430","embedding","sim=0.9447 rank=6 label='early onset hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0005585","embedding","sim=0.944 rank=9 label='chemotherapy-induced hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0006875","embedding","sim=0.9455 rank=4 label='ocular hypertension'"
"Chronic kidney disease due to hypertension","MONDO:0024664","embedding","sim=0.9429 rank=10 label='hypertension, pregnancy-induced'"
"Chronic kidney disease due to other and unspecified causes","EFO:0008584","embedding","sim=0.8881 rank=4 label='Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction'"
"Chronic kidney disease due to other and unspecified causes","EFO:0009788","embedding","sim=0.8923 rank=1 label='encounter with health service related to socioeconomic and psychosocial circumstances'"
"Chronic kidney disease due to other and unspecified causes","MONDO:0000001","",""
"Chronic kidney disease due to other and unspecified causes","MONDO:0005300","",""
"Chronic kidney disease due to other and unspecified causes","MONDO:0006322","embedding","sim=0.8839 rank=10 label='non-neoplastic bile duct disorder'"
"Chronic kidney disease due to other and unspecified causes","MONDO:0013209","embedding","sim=0.8844 rank=8 label='metabolic dysfunction-associated steatotic liver disease'"
"Chronic kidney disease due to other and unspecified causes","MONDO:0016046","embedding","sim=0.8894 rank=2 label='familial clubfoot with or without associated lower limb anomalies'"
"Chronic kidney disease due to other and unspecified causes","MONDO:0024477","embedding","sim=0.8861 rank=5 label='liver and intrahepatic bile duct neoplasm'"
"Chronic kidney disease due to other and unspecified causes","OBA:2044840","embedding","sim=0.8855 rank=6 label='level of uncharacterized protein KIAA2013 in blood serum'"
"Chronic kidney disease due to other and unspecified causes","OBA:2044844","embedding","sim=0.8883 rank=3 label='level of uncharacterized protein FAM241A in blood serum'"
"Chronic kidney disease due to other and unspecified causes","OBA:2044853","embedding","sim=0.8844 rank=9 label='level of uncharacterized protein KIAA1143 in blood serum'"
"Chronic kidney disease due to other and unspecified causes","OBA:2044903","embedding","sim=0.8855 rank=7 label='level of uncharacterized protein KIAA0040 (human) in blood serum'"
"Chronic lymphoid leukemia","MONDO:0000870","embedding","sim=0.961 rank=7 label='childhood acute lymphoblastic leukemia'"
"Chronic lymphoid leukemia","MONDO:0000871","embedding","sim=0.9495 rank=10 label='T-cell childhood acute lymphocytic leukemia'"
"Chronic lymphoid leukemia","MONDO:0004600","embedding","sim=0.966 rank=5 label='monocytic leukemia'"
"Chronic lymphoid leukemia","MONDO:0004643","embedding","sim=0.9634 rank=6 label='myeloid leukemia'"
"Chronic lymphoid leukemia","MONDO:0004947","embedding","sim=0.9508 rank=9 label='B-cell acute lymphoblastic leukemia'"
"Chronic lymphoid leukemia","MONDO:0004948","embedding","sim=0.9516 rank=8 label='B-cell chronic lymphocytic leukemia'"
"Chronic lymphoid leukemia","MONDO:0004967","embedding","sim=0.9773 rank=2 label='acute lymphoblastic leukemia'"
"Chronic lymphoid leukemia","MONDO:0005059","",""
"Chronic lymphoid leukemia","MONDO:0005402","embedding","sim=0.9863 rank=1 label='lymphoid leukemia'"
"Chronic lymphoid leukemia","MONDO:0011996","embedding","sim=0.9731 rank=3 label='chronic myeloid leukemia'"
"Chronic lymphoid leukemia","MONDO:0018874","embedding","sim=0.969 rank=4 label='acute myeloid leukemia'"
"Chronic myeloid leukemia","MONDO:0000870","embedding","sim=0.9369 rank=7 label='childhood acute lymphoblastic leukemia'"
"Chronic myeloid leukemia","MONDO:0000871","embedding","sim=0.9203 rank=10 label='T-cell childhood acute lymphocytic leukemia'"
"Chronic myeloid leukemia","MONDO:0004600","embedding","sim=0.9607 rank=5 label='monocytic leukemia'"
"Chronic myeloid leukemia","MONDO:0004643","embedding","sim=0.9864 rank=3 label='myeloid leukemia'"
"Chronic myeloid leukemia","MONDO:0004947","embedding","sim=0.9288 rank=8 label='B-cell acute lymphoblastic leukemia'"
"Chronic myeloid leukemia","MONDO:0004948","embedding","sim=0.9261 rank=9 label='B-cell chronic lymphocytic leukemia'"
"Chronic myeloid leukemia","MONDO:0004967","embedding","sim=0.9564 rank=6 label='acute lymphoblastic leukemia'"
"Chronic myeloid leukemia","MONDO:0005059","",""
"Chronic myeloid leukemia","MONDO:0005402","embedding","sim=0.961 rank=4 label='lymphoid leukemia'"
"Chronic myeloid leukemia","MONDO:0011996","embedding","sim=1 rank=1 label='chronic myeloid leukemia'"
"Chronic myeloid leukemia","MONDO:0018874","embedding","sim=0.9916 rank=2 label='acute myeloid leukemia'"
"Chronic obstructive pulmonary disease","EFO:0009759","embedding","sim=0.9419 rank=3 label='Chronic Obstructive Asthma'"
"Chronic obstructive pulmonary disease","EFO:0009797","embedding","sim=0.8811 rank=8 label='lung disease associated with cystic fibrosis'"
"Chronic obstructive pulmonary disease","EFO:0009910","embedding","sim=0.8768 rank=10 label='chronic lung disease'"
"Chronic obstructive pulmonary disease","EFO:1001483","embedding","sim=0.9049 rank=5 label='non-obstructive coronary artery disease'"
"Chronic obstructive pulmonary disease","MONDO:0000001","",""
"Chronic obstructive pulmonary disease","MONDO:0001493","embedding","sim=0.8882 rank=6 label='chronic pulmonary heart disease'"
"Chronic obstructive pulmonary disease","MONDO:0005002","embedding","sim=1 rank=1 label='chronic obstructive pulmonary disease'"
"Chronic obstructive pulmonary disease","MONDO:0005009","embedding","sim=0.8787 rank=9 label='congestive heart failure'"
"Chronic obstructive pulmonary disease","MONDO:0007147","embedding","sim=0.9081 rank=4 label='obstructive sleep apnea syndrome'"
"Chronic obstructive pulmonary disease","MONDO:0015925","embedding","sim=0.8831 rank=7 label='interstitial lung disease'"
"Chronic obstructive pulmonary disease","OBA:2055786","embedding","sim=0.9438 rank=2 label='age of onset of chronic obstructive pulmonary disease'"
"Cirrhosis and other chronic liver diseases","EFO:0004267","embedding","sim=0.9515 rank=4 label='biliary liver cirrhosis'"
"Cirrhosis and other chronic liver diseases","EFO:0009797","embedding","sim=0.9169 rank=6 label='lung disease associated with cystic fibrosis'"
"Cirrhosis and other chronic liver diseases","EFO:0801077","embedding","sim=0.9083 rank=9 label='cystic fibrosis-related diabetes'"
"Cirrhosis and other chronic liver diseases","HP:0001395","embedding","sim=0.9096 rank=8 label='Hepatic fibrosis'"
"Cirrhosis and other chronic liver diseases","MONDO:0000001","",""
"Cirrhosis and other chronic liver diseases","MONDO:0005155","embedding","sim=0.9564 rank=2 label='cirrhosis of liver'"
"Cirrhosis and other chronic liver diseases","MONDO:0005354","embedding","sim=0.9032 rank=10 label='chronic hepatitis C virus infection'"
"Cirrhosis and other chronic liver diseases","MONDO:0005448","embedding","sim=0.9555 rank=3 label='hepatitis C induced liver cirrhosis'"
"Cirrhosis and other chronic liver diseases","MONDO:0006644","embedding","sim=0.962 rank=1 label='alcoholic liver cirrhosis'"
"Cirrhosis and other chronic liver diseases","MONDO:0007027","embedding","sim=0.9123 rank=7 label='metabolic dysfunction-associated steatohepatitis'"
"Cirrhosis and other chronic liver diseases","MONDO:0013209","embedding","sim=0.9211 rank=5 label='metabolic dysfunction-associated steatotic liver disease'"
"Cirrhosis due to alcohol","EFO:0004267","embedding","sim=0.9369 rank=4 label='biliary liver cirrhosis'"
"Cirrhosis due to alcohol","EFO:0009797","embedding","sim=0.8987 rank=9 label='lung disease associated with cystic fibrosis'"
"Cirrhosis due to alcohol","EFO:0801077","embedding","sim=0.8927 rank=10 label='cystic fibrosis-related diabetes'"
"Cirrhosis due to alcohol","HP:0001395","embedding","sim=0.9008 rank=7 label='Hepatic fibrosis'"
"Cirrhosis due to alcohol","HP:0001397","embedding","sim=0.9046 rank=6 label='Hepatic steatosis'"
"Cirrhosis due to alcohol","MONDO:0005155","embedding","sim=0.9606 rank=1 label='cirrhosis of liver'"
"Cirrhosis due to alcohol","MONDO:0005448","embedding","sim=0.9393 rank=3 label='hepatitis C induced liver cirrhosis'"
"Cirrhosis due to alcohol","MONDO:0006644","embedding","sim=0.952 rank=2 label='alcoholic liver cirrhosis'"
"Cirrhosis due to alcohol","MONDO:0007027","embedding","sim=0.9006 rank=8 label='metabolic dysfunction-associated steatohepatitis'"
"Cirrhosis due to alcohol","MONDO:0013209","embedding","sim=0.9054 rank=5 label='metabolic dysfunction-associated steatotic liver disease'"
"Cirrhosis due to other causes","EFO:0004267","embedding","sim=0.9302 rank=2 label='biliary liver cirrhosis'"
"Cirrhosis due to other causes","EFO:0009797","embedding","sim=0.8906 rank=6 label='lung disease associated with cystic fibrosis'"
"Cirrhosis due to other causes","HP:0001395","embedding","sim=0.8873 rank=9 label='Hepatic fibrosis'"
"Cirrhosis due to other causes","HP:0001397","embedding","sim=0.8892 rank=7 label='Hepatic steatosis'"
"Cirrhosis due to other causes","MONDO:0005155","embedding","sim=0.9396 rank=1 label='cirrhosis of liver'"
"Cirrhosis due to other causes","MONDO:0005448","embedding","sim=0.9265 rank=4 label='hepatitis C induced liver cirrhosis'"
"Cirrhosis due to other causes","MONDO:0006644","embedding","sim=0.929 rank=3 label='alcoholic liver cirrhosis'"
"Cirrhosis due to other causes","MONDO:0007027","embedding","sim=0.8861 rank=10 label='metabolic dysfunction-associated steatohepatitis'"
"Cirrhosis due to other causes","MONDO:0013209","embedding","sim=0.8925 rank=5 label='metabolic dysfunction-associated steatotic liver disease'"
"Cirrhosis due to other causes","MONDO:0024477","embedding","sim=0.8874 rank=8 label='liver and intrahepatic bile duct neoplasm'"
"Coal workers pneumoconiosis","HP:0002108","embedding","sim=0.9165 rank=3 label='Spontaneous pneumothorax'"
"Coal workers pneumoconiosis","HP:0002110","embedding","sim=0.8866 rank=7 label='Bronchiectasis'"
"Coal workers pneumoconiosis","MONDO:0001437","embedding","sim=0.8887 rank=6 label='pulmonary alveolar proteinosis'"
"Coal workers pneumoconiosis","MONDO:0002076","embedding","sim=0.9119 rank=4 label='pneumothorax'"
"Coal workers pneumoconiosis","MONDO:0004822","embedding","sim=0.8866 rank=8 label='bronchiectasis'"
"Coal workers pneumoconiosis","MONDO:0005682","embedding","sim=0.9097 rank=5 label='bronchopneumonia'"
"Coal workers pneumoconiosis","MONDO:0006913","embedding","sim=0.884 rank=9 label='pneumococcal meningitis'"
"Coal workers pneumoconiosis","MONDO:0015926","embedding","sim=0.964 rank=1 label='pneumoconiosis'"
"Coal workers pneumoconiosis","MONDO:0016586","embedding","sim=0.8818 rank=10 label='systemic mastocytosis'"
"Coal workers pneumoconiosis","MONDO:0043905","embedding","sim=0.9181 rank=2 label='pneumonitis'"
"Cocaine use disorders","EFO:0005431","embedding","sim=0.9176 rank=9 label='illegal drug consumption'"
"Cocaine use disorders","EFO:0007585","embedding","sim=0.9163 rank=10 label='Cannabis use'"
"Cocaine use disorders","EFO:0007586","embedding","sim=0.9413 rank=4 label='Cannabis use initiation'"
"Cocaine use disorders","EFO:0007835","embedding","sim=0.9194 rank=8 label='alcohol dependence measurement'"
"Cocaine use disorders","EFO:0008457","embedding","sim=0.9196 rank=7 label='cannabis dependence measurement'"
"Cocaine use disorders","EFO:0009458","embedding","sim=0.9452 rank=3 label='alcohol use disorder measurement'"
"Cocaine use disorders","EFO:0010445","embedding","sim=0.9805 rank=1 label='cocaine use disorder'"
"Cocaine use disorders","EFO:0010553","embedding","sim=0.9512 rank=2 label='cocaine use measurement'"
"Cocaine use disorders","EFO:0803368","embedding","sim=0.9239 rank=5 label='internet addiction disorder'"
"Cocaine use disorders","MONDO:0021698","embedding","sim=0.9212 rank=6 label='alcohol-related disorders'"
"Colon and rectum cancer","EFO:1001480","embedding","sim=0.9259 rank=3 label='metastatic colorectal cancer'"
"Colon and rectum cancer","MONDO:0000956","embedding","sim=0.916 rank=10 label='small intestine cancer'"
"Colon and rectum cancer","MONDO:0002032","embedding","sim=0.9374 rank=2 label='colon carcinoma'"
"Colon and rectum cancer","MONDO:0002033","embedding","sim=0.9239 rank=6 label='cecum cancer'"
"Colon and rectum cancer","MONDO:0002238","embedding","sim=0.9228 rank=8 label='ascending colon cancer'"
"Colon and rectum cancer","MONDO:0004992","",""
"Colon and rectum cancer","MONDO:0005519","embedding","sim=0.9214 rank=9 label='renal pelvis carcinoma'"
"Colon and rectum cancer","MONDO:0005522","embedding","sim=0.9242 rank=5 label='small intestine carcinoma'"
"Colon and rectum cancer","MONDO:0005575","embedding","sim=0.9234 rank=7 label='colorectal cancer'"
"Colon and rectum cancer","MONDO:0006519","embedding","sim=0.9437 rank=1 label='rectal cancer'"
"Colon and rectum cancer","MONDO:0024331","embedding","sim=0.9246 rank=4 label='colorectal carcinoma'"
"Conduct disorder","HP:0012075","embedding","sim=0.9147 rank=10 label='Personality disorder'"
"Conduct disorder","MONDO:0002025","embedding","sim=0.9298 rank=4 label='psychiatric disorder'"
"Conduct disorder","MONDO:0002039","embedding","sim=0.9261 rank=7 label='cognitive disorder'"
"Conduct disorder","MONDO:0003265","embedding","sim=0.9312 rank=3 label='adjustment disorder'"
"Conduct disorder","MONDO:0005084","embedding","sim=0.9234 rank=8 label='mental disorder'"
"Conduct disorder","MONDO:0005352","embedding","sim=1 rank=1 label='conduct disorder'"
"Conduct disorder","MONDO:0005371","embedding","sim=0.9313 rank=2 label='mood disorder'"
"Conduct disorder","MONDO:0005383","embedding","sim=0.9264 rank=6 label='panic disorder'"
"Conduct disorder","MONDO:0005618","embedding","sim=0.9265 rank=5 label='anxiety disorder'"
"Conduct disorder","MONDO:0100081","embedding","sim=0.9181 rank=9 label='sleep disorder'"
"Congenital birth defects","EFO:0022941","embedding","sim=0.9385 rank=1 label='congenital respiratory system disorder'"
"Congenital birth defects","EFO:0600032","embedding","sim=0.9185 rank=6 label='congenital right-sided heart lesions'"
"Congenital birth defects","HP:0001374","embedding","sim=0.9115 rank=9 label='Congenital hip dislocation'"
"Congenital birth defects","MONDO:0002320","embedding","sim=0.9361 rank=3 label='congenital nervous system disorder'"
"Congenital birth defects","MONDO:0005453","embedding","sim=0.9362 rank=2 label='congenital heart disease'"
"Congenital birth defects","MONDO:0005584","embedding","sim=0.9173 rank=7 label='congenital left-sided heart lesions'"
"Congenital birth defects","MONDO:0017427","embedding","sim=0.9155 rank=8 label='congenital deformities of limbs'"
"Congenital birth defects","MONDO:0019054","embedding","sim=0.9257 rank=4 label='congenital limb malformation'"
"Congenital birth defects","MONDO:0019512","embedding","sim=0.9217 rank=5 label='congenital heart malformation'"
"Congenital birth defects","MONDO:0024239","embedding","sim=0.9061 rank=10 label='congenital anomaly of cardiovascular system'"
"Congenital heart anomalies","EFO:0022941","embedding","sim=0.9369 rank=8 label='congenital respiratory system disorder'"
"Congenital heart anomalies","EFO:0600032","embedding","sim=0.9431 rank=7 label='congenital right-sided heart lesions'"
"Congenital heart anomalies","MONDO:0002320","embedding","sim=0.935 rank=9 label='congenital nervous system disorder'"
"Congenital heart anomalies","MONDO:0005453","embedding","sim=0.9473 rank=4 label='congenital heart disease'"
"Congenital heart anomalies","MONDO:0005584","embedding","sim=0.945 rank=6 label='congenital left-sided heart lesions'"
"Congenital heart anomalies","MONDO:0016581","embedding","sim=0.9283 rank=10 label='conotruncal heart malformations'"
"Congenital heart anomalies","MONDO:0019054","embedding","sim=0.9484 rank=3 label='congenital limb malformation'"
"Congenital heart anomalies","MONDO:0019512","embedding","sim=0.9607 rank=1 label='congenital heart malformation'"
"Congenital heart anomalies","MONDO:0020292","embedding","sim=0.947 rank=5 label='congenital anomaly of the great arteries'"
"Congenital heart anomalies","MONDO:0024239","embedding","sim=0.9545 rank=2 label='congenital anomaly of cardiovascular system'"
"Congenital musculoskeletal and limb anomalies","EFO:0022195","embedding","sim=0.9094 rank=9 label='chronic musculoskeletal pain'"
"Congenital musculoskeletal and limb anomalies","HP:0033127","embedding","sim=0.9499 rank=1 label='Abnormality of the musculoskeletal system'"
"Congenital musculoskeletal and limb anomalies","HP:0040064","",""
"Congenital musculoskeletal and limb anomalies","MONDO:0000589","embedding","sim=0.9393 rank=2 label='autoimmune disorder of musculoskeletal system'"
"Congenital musculoskeletal and limb anomalies","MONDO:0002081","embedding","sim=0.937 rank=3 label='musculoskeletal system disorder'"
"Congenital musculoskeletal and limb anomalies","MONDO:0016046","embedding","sim=0.9226 rank=4 label='familial clubfoot with or without associated lower limb anomalies'"
"Congenital musculoskeletal and limb anomalies","MONDO:0017427","embedding","sim=0.9196 rank=5 label='congenital deformities of limbs'"
"Congenital musculoskeletal and limb anomalies","MONDO:0019054","embedding","sim=0.9146 rank=7 label='congenital limb malformation'"
"Congenital musculoskeletal and limb anomalies","MONDO:0019719","embedding","sim=0.913 rank=8 label='congenital anomaly of kidney and urinary tract'"
"Congenital musculoskeletal and limb anomalies","MONDO:0024239","embedding","sim=0.9058 rank=10 label='congenital anomaly of cardiovascular system'"
"Congenital musculoskeletal and limb anomalies","OBA:2042464","embedding","sim=0.9147 rank=6 label='level of musculoskeletal embryonic nuclear protein 1 in blood serum'"
"Contact dermatitis","HP:0000964","embedding","sim=0.9154 rank=8 label='Eczematoid dermatitis'"
"Contact dermatitis","MONDO:0002138","embedding","sim=0.9261 rank=5 label='allergic contact dermatitis of eyelid'"
"Contact dermatitis","MONDO:0002406","embedding","sim=0.9626 rank=2 label='dermatitis'"
"Contact dermatitis","MONDO:0004980","",""
"Contact dermatitis","MONDO:0005480","embedding","sim=1 rank=1 label='contact dermatitis'"
"Contact dermatitis","MONDO:0005481","embedding","sim=0.9424 rank=4 label='contact dermatitis due to nickel'"
"Contact dermatitis","MONDO:0006525","embedding","sim=0.959 rank=3 label='allergic contact dermatitis'"
"Contact dermatitis","MONDO:0006555","embedding","sim=0.9134 rank=10 label='granulomatous dermatitis'"
"Contact dermatitis","MONDO:0006598","embedding","sim=0.9148 rank=9 label='phototoxic dermatitis'"
"Contact dermatitis","MONDO:0008054","embedding","sim=0.9241 rank=7 label='juvenile dermatomyositis'"
"Contact dermatitis","MONDO:0016367","embedding","sim=0.9256 rank=6 label='dermatomyositis'"
"Crohn's disease","EFO:0009268","embedding","sim=0.8765 rank=7 label='family history of Alzheimer’s disease'"
"Crohn's disease","HP:0030035","embedding","sim=0.8783 rank=5 label='Struvite nephrolithiasis'"
"Crohn's disease","MONDO:0000001","",""
"Crohn's disease","MONDO:0001085","embedding","sim=0.8737 rank=10 label='interstitial nephritis'"
"Crohn's disease","MONDO:0002473","embedding","sim=0.874 rank=9 label='cystic kidney disease'"
"Crohn's disease","MONDO:0004247","embedding","sim=0.8749 rank=8 label='peptic ulcer disease'"
"Crohn's disease","MONDO:0005011","embedding","sim=0.9524 rank=1 label='Crohn disease'"
"Crohn's disease","MONDO:0005019","embedding","sim=0.887 rank=3 label='diffuse scleroderma'"
"Crohn's disease","MONDO:0005537","embedding","sim=0.9333 rank=2 label='perianal Crohn disease'"
"Crohn's disease","MONDO:0008171","embedding","sim=0.8787 rank=4 label='nephrolithiasis'"
"Crohn's disease","MONDO:0019125","embedding","sim=0.8774 rank=6 label='relapsing polychondritis'"
"Cutaneous and mucocutaneous leishmaniasis","EFO:0009087","embedding","sim=0.9073 rank=5 label='non-typhoidal Salmonella bacteremia'"
"Cutaneous and mucocutaneous leishmaniasis","MONDO:0004844","embedding","sim=0.9081 rank=4 label='oral mucosa leukoplakia'"
"Cutaneous and mucocutaneous leishmaniasis","MONDO:0005445","embedding","sim=0.9351 rank=1 label='visceral leishmaniasis'"
"Cutaneous and mucocutaneous leishmaniasis","MONDO:0005446","embedding","sim=0.9246 rank=2 label='cutaneous leishmaniasis'"
